temperature: 21, humidity: 45, moisture: 5, water: 0, Year: 2018, Month: 12, Day: 05, Hour: 17, Min: 58, Sec: 15
temperature: 21, humidity: 45, moisture: 5, water: 0, Year: 2018, Month: 12, Day: 05, Hour: 17, Min: 58, Sec: 20
temperature: 21, humidity: 45, moisture: 5, water: 0, Year: 2018, Month: 12, Day: 05, Hour: 17, Min: 58, Sec: 25
temperature: 21, humidity: 45, moisture: 5, water: 0, Year: 2018, Month: 12, Day: 05, Hour: 17, Min: 58, Sec: 30
temperature: 21, humidity: 45, moisture: 5, water: 0, Year: 2018, Month: 12, Day: 05, Hour: 17, Min: 58, Sec: 35
temperature: 21, humidity: 45, moisture: 5, water: 0, Year: 2018, Month: 12, Day: 05, Hour: 17, Min: 58, Sec: 40
temperature: 21, humidity: 45, moisture: 5, water: 0, Year: 2018, Month: 12, Day: 05, Hour: 17, Min: 58, Sec: 45
temperature: 21, humidity: 45, moisture: 5, water: 0, Year: 2018, Month: 12, Day: 05, Hour: 17, Min: 58, Sec: 50
temperature: 21, humidity: 45, moisture: 5, water: 0, Year: 2018, Month: 12, Day: 05, Hour: 17, Min: 58, Sec: 55
temperature: 21, humidity: 45, moisture: 5, water: 0, Year: 2018, Month: 12, Day: 05, Hour: 17, Min: 59, Sec: 00
temperature: 21, humidity: 45, moisture: 5, water: 0, Year: 2018, Month: 12, Day: 05, Hour: 17, Min: 59, Sec: 05
temperature: 21, humidity: 45, moisture: 5, water: 0, Year: 2018, Month: 12, Day: 05, Hour: 17, Min: 59, Sec: 10
temperature: 21, humidity: 45, moisture: 5, water: 0, Year: 2018, Month: 12, Day: 05, Hour: 17, Min: 59, Sec: 15
temperature: 21, humidity: 45, moisture: 5, water: 0, Year: 2018, Month: 12, Day: 05, Hour: 17, Min: 59, Sec: 24
temperature: 21, humidity: 45, moisture: 5, water: 0, Year: 2018, Month: 12, Day: 05, Hour: 17, Min: 59, Sec: 29
temperature: 21, humidity: 45, moisture: 5, water: 0, Year: 2018, Month: 12, Day: 05, Hour: 17, Min: 59, Sec: 34
temperature: 21, humidity: 45, moisture: 5, water: 0, Year: 2018, Month: 12, Day: 05, Hour: 17, Min: 59, Sec: 39
temperature: 21, humidity: 45, moisture: 5, water: 0, Year: 2018, Month: 12, Day: 05, Hour: 17, Min: 59, Sec: 44
temperature: 21, humidity: 45, moisture: 5, water: 0, Year: 2018, Month: 12, Day: 05, Hour: 17, Min: 59, Sec: 49
temperature: 21, humidity: 45, moisture: 5, water: 0, Year: 2018, Month: 12, Day: 05, Hour: 17, Min: 59, Sec: 54
temperature: 21, humidity: 45, moisture: 5, water: 0, Year: 2018, Month: 12, Day: 05, Hour: 17, Min: 59, Sec: 59
temperature: 21, humidity: 45, moisture: 5, water: 0, Year: 2018, Month: 12, Day: 05, Hour: 18, Min: 00, Sec: 04
temperature: 21, humidity: 45, moisture: 5, water: 0, Year: 2018, Month: 12, Day: 05, Hour: 18, Min: 00, Sec: 09
temperature: 21, humidity: 45, moisture: 5, water: 0, Year: 2018, Month: 12, Day: 05, Hour: 18, Min: 08, Sec: 27
